Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chile,CHL,4031799,4515437,3921103,5317385,4738165,4461856,4132854,3939379,3821818,3048316,3466956,3007536.31,2288875.04,2592748,2131558,1826602.41,2335016.12,2370411.23,2380299.99,2183235.13,2390072.38
China,CHN,14403875,14426596,14598934,14786243,14850730,14995706,14987636,15157263,15062980,15054057,15263615.15,15446318.15,15633567.44,16363366.41,16647934.68,16019261.57,15576685.3,14831109.11,14169893.46,13445983.02,13142836.98
Cote d'Ivoire,CIV,76005,69870,68903,54401,42665,54830,47300,43799,42893,48038,52468,52513.2,61360.8,74810.23,98546.93,104288.81,94790.43,109074.76,109031.42,103116.38,105295.36
Cameroon,CMR,121031,130135,117801,129000,142345,137232,138612,155300,172000,181000,190000,199000,207000,215000,224000,233190,266737,281945,296953.82,281630,290330
"Congo, Dem. Rep.",COD,231378,237690,234375,235752,234814,234562,234252,231447,228363,224491,221250,218000,227414,229612,230726,237372,238000,238000,238000,217750,228665
"Congo, Rep.",COG,48830,51927,53865,57024,54616,59082,59216,54104,61218,65186,73233,81150,73326,73536,69349,86834,95035,98734,70349.84,70637.35,69419
Colombia,COL,146164,124799,130147,112492,121002,103997,121655,112892,106450,81168,87491,72004,70706,92879,81951,69338,88223.5,81542.99,112072.5,91924.46,128869.15
Comoros,COM,11425,11178,11053,10987,10738,10464,14401,22714,44745,63447,38180,36295.23,43732.61,9257.28,11789.68,20039.49,17438.13,13801.52,17599.95,20755.44,19356.06
Cabo Verde,CPV,8676,8851,8136,11031,21931,19826,20127,21119,19213,21412,23077,20943.45,35983.8,35677.41,39393.28,27938.73,18617,26593.23,17190.32,19485.25,11623.87
Costa Rica,CRI,34016,33045,29556,20000,21489,19195,19751,21405,19814,17916,13928,15045,18558,14746,14750,11776.61,12498.83,14422.57,17768.97,26679.37,29122.73
Caribbean small states,CSS,200417,269579,231637,291488,284122,380822,499244,541446,490851.83,624329.44,519998.65,349907.11,233991.7,346248.71,350706.97,317847.49,384512.29,350763.63,332448.86,300666.32,299446.16
Cuba,CUB,54708,32586,34088,32194,28234,27587,29485,28714,28892,23996,24106,22320,22103,25056,25634,23574,21548,22621,18546.1,20186.2,18053.2
Curacao,CUW,0,0,0,0,0,0,0,0,0,0,22074,25071.89,26196.68,28495.27,30158.69,35534.16,32625.63,37910.53,29213.84,23051.82,25027.24
Cayman Islands,CYM,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Cyprus,CYP,54723,141079,47740,78724,61313,29940,2446,1996,1409,1395,1188,1323,1182.99,1268,1488,1494,1756,1490.01,1559.21,1327.27,1401.33
Czechia,CZE,4646,4983,5127,4528,4242,4646,4276,4164,4112,3990,3859,4033,3761,3812,3841,3507,3557,3650,3721,3729,3314
Germany,DEU,209142,221772,257647,258343,281368,293037,290511,274281,244047,243146,233883,214408,235107,242743,261744,271185,248237,279213,224394.8,212094.57,187662.85
Djibouti,DJI,900,1000,1100,1200,1571,1299,1229,1206,1058,1590,1667,2167,1702,2298,2012,2220,2022,2102,2270.14,2322.5,3088.9
Dominica,DMA,1200,1198,950,700,579,694,677,699,772,700,662,625,527,1029,990,809,784,762,860.4,527,287.97
Denmark,DNK,1510694,1442348,1031221,1090596,910598,867721,653053,690584,777752,828089,716387,502790,668480,745343,869312,670448,904873,789362,639655,733000.49,466503.08
Dominican Republic,DOM,13217,17261,18097,14223,11193,12956,13709,15382,14233,14490,14005,13662.83,13188.58,13783.56,11894.89,14640.68,15724.54,13920.42,16066.01,14064.13,17666.88
Algeria,DZA,133628,134324.8,140959,113464.2,126260.3,145763.8,147363.13,138862.43,127777,93464,101814.86,105543.4,100973.14,97683.17,95798.9,100004.86,103875.32,115057.99,100553.1,71518.72,79200
East Asia & Pacific (excluding high income),EAP,28694415.25,29111406.97,29918635.58,30684125.33,30919201.53,31367002.85,31607549.35,31200139.41,31338965.02,31722035.43,32199009.33,32722146.97,33357980.23,34626730.1,35020532.94,34620459.44,34582146.43,34039834.39,33449425.87,32444701.48,31763219.01
Early-demographic dividend,EAR,29271084.75,30271327.65,28112921.83,31806795.7,32063038.32,30556757.94,31101694.16,31484015.44,31047157.75,29131702.77,32666974.38,30170711.49,30962701.88,29815251.15,31197289.81,30601703.29,31940188.92,35054696.39,32694575.96,32289654.17,33768335.84
East Asia & Pacific,EAS,37519878.85,37352598.37,38472596.19,38685316.26,39019767.22,39426677.71,39964481.84,39445087.76,39013674.66,39307771.59,39536938.23,39851164.94,40424977.17,41962369.94,41924684.7,40803457.38,40720635.43,40370798.4,39652321.55,38471324.6,37713814.18
Europe & Central Asia (excluding high income),ECA,4543702.2,4150493.8,4125107.6,3811963.51,3988978,4134551.1,4451876.4,4263564,4647933.2,4909623.6,5067080.21,5028378.33,5055827.5,4830713.88,5150341.23,5339974.47,5571125.58,5824748.67,5908649.77,5848448.65,5913289.09
Europe & Central Asia,ECS,17054180.42,16530342.84,15663813.94,15106292.83,14885403.59,14570007.8,14647817.53,14189124.54,14400533.77,14927153.37,14451675.79,14088587.7,14527580.14,14706968.91,15227104.04,14722836.36,15983695.35,16121227.48,15213243.14,15031896.59,14689002.28
Ecuador,ECU,587770,319169,399526,356774,464387,469060,408926,505571,498679,399874,508793,501881,509031,656448,632571,709181,622687,597465,607745.23,636310.68,863618.6
"Egypt, Arab Rep.",EGY,428634,425163,431124,393495,349554,375895,372492,373816,387399,385210,375355,354237.7,356858.09,344792.08,344113,335614.33,370959.67,373286,397043.34,418684,425770
Euro area,EMU,4107635.1,3848883.5,3840709.3,3793622.2,3812309.5,3839281.57,3677312.5,3541774.21,3456034.66,3577393.4,3415003.05,3155305.35,3284082.45,3516392.3,3338511.06,3360230.57,3454227.39,3360424.4,3103516.29,2778705.63,2808966.22
Eritrea,ERI,8880,7852,6689,7404,4027,8813,2232,1965,3330,3586,2939,3924.35,3616.68,3695.73,6230.8,3306.13,3929.59,5798.24,5640.4,5100,4574.16
Spain,ESP,1090797.3,883691.5,889386.4,811738.8,855282.1,962036.1,820309.1,923446.9,932442.3,975411.6,1011425.2,931464.8,990347.09,1064867.75,978106.38,917210.36,953789.68,936512.23,888698.24,804179.01,808544.14
Estonia,EST,105492,102365,80208,88625,99581,86884,99444,102580,98504,95731,81580,66613,69454,68883,73195,75656,82820,87051,86755,74142.44,72235.55
Ethiopia,ETH,15390,12300,9213,10005,9450,9890,13254,16770,17047,18058,24041,28952,38371,50119,45519,50000,56001,57166,59002,60002,60650
European Union,EUU,6201328.22,5864592.04,5392749.34,5401545.32,5192544.59,5186004.7,4787050.13,4681084.29,4740359.16,4883769.7,4606199.37,4096769.63,4456636.72,4741487.58,4727061.79,4557500.53,4916912.82,4693387.31,4233346.75,3992857.7,3722519.7
Fragile and conflict affected situations,FCS,3687144.74,3876129.46,4081396.28,4469448.55,4551137.13,4538188.86,4594920.83,4596020.71,4733348.02,4775132.14,4809431.48,4972729.55,5101362.96,5170244.31,5083566.14,5371353.09,5680088.6,5566177.42,5530437.12,5392709.76,5093721.93
Finland,FIN,149977,142302,121874,135422,131733,149446,164677,148666,154626,156097,153702,162321,167787,182956,182865,192881,190625,175200.39,163917.29,140055,124971
